,message_length,summary
75,23,NO ACCIDENT DESCRIBED.
76,27,"collision-back-impact: The caller's vehicle was hit by another vehicle in the garage, causing damage to the bumper and headlight."
77,37,NO ACCIDENT DESCRIBED.
78,163,"collision-undercarriage: Vehicle hit a jack on the road, causing damage to the undercarriage and oil leakage. No other damage reported."
79,49,colision-animal: Car hit a deer. No other details provided.
80,24,collision-wind-shield: Passenger front window broken due to attempted theft. No other damage reported.
81,65,collision-rear-end: Damage to the rear bumper and trunk.
82,20,other: The car was hit by an animal causing damage. Comprehensive coverage applies with a $500 deductible.
83,13,"I'm sorry, I didn't catch the details of the accident. Could you please provide me with more information about the damage to the car?"
84,128,other: The car hit a curb and both passenger side tires and rims were damaged. No other damage was reported.
85,27,NO ACCIDENT DESCRIBED.
86,26,NO ACCIDENT DESCRIBED.
87,37,"colision-front-impact: $688.91 in damages, $500 deductible paid out of pocket. Balancing and rotating of all tires may not have been covered."
88,198,"collision-side-impact: Damage to passenger side front fender, door, and headlight. No damage to front bumper or hood."
89,31,NO ACCIDENT DESCRIBED.
90,135,"colision-front-impact: Front grill, front bumper, headlights, and fog lights destroyed. Hood dented. No airbag inflation."
91,28,"collision-side-impact: Damage to driver's side door, brake light, catalytic converter, bed liner, tailgate cover, and removal of driver and passenger side mirrors."
92,297,Collision-front-impact: Damage to the driver's side door and front fender of the 2019 Chevy Traverse.
93,32,NO ACCIDENT DESCRIBED.
94,97,"colision-wind-shield: shattered windshield on the right-hand side, big dent in the front of the hood and front."
95,18,NO ACCIDENT DESCRIBED.
96,39,NO ACCIDENT DESCRIBED.
97,38,colision-parking-lot: The car was hit in a parking lot. The extent of the damage is unknown. No further details were provided.
98,119,collision-side-impact: The back bumper of the 1996 BMW Z3 is damaged due to an accident caused by losing control of the vehicle.
99,44,NO ACCIDENT DESCRIBED.
