,message_length,summary
64,17,NO ACCIDENT DESCRIBED.
65,61,"Collision: The Kia was hit a few minutes before the call, causing damage to the side of the car. No other details were provided."
66,128,Collision: The caller reported scratches on both passenger side doors of their 2021 Mazda CX-5. No information was provided on how the damage occurred.
67,47,"Collision: The caller did not provide details about the accident, but the car sustained damages that may result in it being totaled."
68,16,NO ACCIDENT DESCRIBED.
69,74,"Collision: The caller hit an animal while driving, causing damage to the front corner of the passenger side of the car and something dragging underneath. No further details provided."
70,68,"Collision: The caller hit a deer in the front center of their 2022 Carnival. The bumper and grill were damaged, but no airbags deployed."
71,14,NO ACCIDENT DESCRIBED.
72,100,"Collision: The car hydroplaned and spun out, then got hit by a truck in the rear passenger side. The back of the car is damaged and the lift gate won't open."
73,56,"Collision. The caller did not provide specific details about the accident, only that they want to keep their car and are frustrated with the claims process."
74,36,Collision: Car was damaged by a towing company. Mechanic determined it's not safe to drive and Geico will send an adjuster to the auto repair shop to assess the damage.
75,26,Collision: The car sustained more damage than initially estimated. No further details about the accident were provided.
76,22,Collision: The car sustained more damage than initially estimated. No further details about the accident were provided.
77,26,Collision: The caller's car was damaged when it was hit by another vehicle while parked in a garage. The bumper and headlight were damaged.
78,36,Collision: The caller's car was damaged when it was hit by another vehicle while parked in a garage. The bumper and headlight were damaged.
79,162,"Collision: A jack in the middle of the road caused damage to the undercarriage of a 2002 Honda Accord, resulting in oil leakage. No other damage was reported."
80,48,"Collision: The caller hit a deer, causing damage to their car."
81,23,Collision: The passenger front window of the car was broken due to an attempted theft. No other damage to the car was reported.
82,64,"Collision: May 22nd, 2023. No details provided on the accident. Damage to the insured's vehicle and injuries to the insured."
83,19,Collision: Vehicle struck by an animal causing damage.
84,12,Collision: The car sustained significant damage to the front and passenger side.
85,127,"Collision: The caller swerved to avoid an animal and hit a curb, damaging both passenger side tires and rims on a 2021 Jeep Grand Cherokee. No other damage reported."
86,26,NO ACCIDENT DESCRIBED.
87,25,No accident described.
88,36,Collision: The caller filed a claim for their truck which was fixed. The total amount was $688.91 and they had a $500 deductible. They are unsure if they paid more out of pocket.
89,197,Collision: The 2008 Chevy Impala LT was hit on the passenger side front fender and door by a company truck. The headlights were broken and the door may not open.
90,30,Collision: The caller's car was damaged in an accident and they are inquiring about the status of the other driver's insurance coverage for repairs.
91,134,"Collision: The Honda Civic was hit on the driver's side by another vehicle that ran a red light. The front grill, bumper, headlights, and fog lights were destroyed."
92,27,"Collision: Damage to driver's side door, bed liner, tailgate cover, brake light, and catalytic converter. Advisers on driver and passenger side removed. No injuries reported."
93,296,Collision: The caller's car was hit by a truck causing damage to the driver's side door. No information was provided about damage to the truck.
94,31,NO ACCIDENT DESCRIBED.
95,96,"Collision: The caller hit a deer early in the morning, causing damage to the windshield, hood, and front of the car. No other accidents or damage were reported."
96,17,NO ACCIDENT DESCRIBED.
97,38,Collision: Liability denied. No injuries reported. No further information provided about the accident except that there was damage to the car.
98,37,Collision: The speaker's car was hit in a parking lot by another driver who was trying to park. No further details about the accident were provided.
99,118,Collision: The caller's 1996 BMW Z3 spun out and hit the median on an overpass due to rain. The back bumper was damaged. No other vehicles were involved.
100,43,Collision: Damage to the tundra resulted in a claim with Echo Claims. No further details provided.
